keys,tr
SHOTGUN DESC,"KENDİNE BOŞ BİR KOVANLA ATEŞ ETMEK KURPİYERİN TURUNU ATLAR."
HANDCUFFS,KELEPÇE
HANDCUFFS DESC,"KURPİYERİN SONRAKİ TURUNU ATLAR."
BEER,BİRA
BEER DESC,"POMPALININ MEVCUT KOVANINI ÇIKARTIR."
HANDSAW,TESTERE
HANDSAW DESC,"POMPALI 2 HASAR VERİR".
CIGARETTE,SİGARA PAKETİ
CIGARETTE DESC,"Bİ' DUMAN ÇEK VE RAHATLA.
1 ŞARJ DOLDURUR."
MAGNIFIER,BÜYÜTEÇ
MAGNIFIER DESC,"MEVCUT KOVANI KONTROL EDER."
INVERTER,DÖNÜŞTÜRÜCÜ
INVERTER DESC,"MEVCUT KOVANIN DOLULUK DURUMUNU DEĞİŞTİRİR."
ADRENALINE,ADRENALİN
ADRENALINE DESC,"BİR EŞYA ÇAL VE HEMEN KULLAN."
MEDICINE,TARİHİ GEÇMİŞ İLAÇ
MEDICINE DESC,"%50 İHTİMALLE 2 ŞARJ KAZANIRSIN.
DİĞER İHTİMALLE 1 ŞARJ KAYBEDERSİN."
PHONE,TEK KULLANIMLIK TELEFON
PHONE DESC,"GİZEMLİ BİR SES SANA GELECEKTEN BİLGİ VERİR."
,
SEQUENCE2,İKİNCİ FİŞEK ...
SEQUENCE3,ÜÇÜNCÜ FİŞEK ...
SEQUENCE4,DÖRDÜNCÜ FİŞEK ...
SEQUENCE5,BEŞİNCİ FİŞEK ...
SEQUENCE6,ALTINCI FİŞEK ...
SEQUENCE7,YEDİNCİ FİŞEK ...
PLAYERWIN,%s KAZANDI!
FINAL SHOW1,"İYİ DAYANDIN, SON KOZLARIMIZI PAYLAŞMANIN VAKTİ GELDİ."
FINAL SHOW2,"ARTIK DEFİBRİLATÖRLER YOK.
KAN NAKLİ YOK."
FINAL SHOW3,"ŞİMDİ, BEN VE SEN, ARAFTA DANS EDİYORUZ."
ARE YOU READY,HAZIR MISIN?
DRILL,OLAYI BİLİYORSUN.
CONGRATULATIONS,"KAZANDIN, %s!"
SHOTS FIRED,ATEŞ EDİLDİ ........
SHELLS EJECTED,KOVAN BOŞALTILDI ...
DOORS KICKED,KAPI TEKMELENDİ ....
CIGS SMOKED,SİGARA İÇİLDİ ......
ROUNDS BEAT,TUR KAZANILDI ......
ML DRANK,İÇİLEN ML BİRA .....
TOTAL CASH,TOPLAM PARA:
PRESS ANY KEY,ÇIKMAK İÇİN HERHANGİ BİR TUŞA BAS
DEAD,ÖLDÜN
RETRY,TEKRAR DENE
BETTER NOT,"UMARIM SENİ BİRDAHA GÖRMEM."
DOUBLE UNLOCK,"""İKİYE KATLA VEYA ÇEKİL"" AÇILDI!"
IMPAIR,ARAÇ KULLANMA YETENEĞİNİ SARSABİLİR
,
ATTRIBUTION SPECIAL THANKS,"ÖZEL TEŞEKKÜRLER

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL support
nicolith"
COLORBLIND_MODE,COLOR BLIND MODE
