keys,th
PHONE DESC,"เสียงปริศนาลึกลับ
ที่จะทำนายอนาคตให้แก่คุณ"
,
SEQUENCE2,กระสุนที่สอง...
SEQUENCE3,กระสุนที่สาม...
SEQUENCE4,กระสุนที่สี่...
SEQUENCE5,กระสุนที่ห้า...
SEQUENCE6,กระสุนที่หก...
SEQUENCE7,กระสุนที่เจ็ด...
PLAYERWIN,%s ชนะ!
FINAL SHOW1,"ในที่สุด พวกเราก็มาถึง
การประลองครั้งสุดท้ายกันแล้ว"
FINAL SHOW2,"ไม่มีเครื่องกระตุ้นหัวใจ
และไม่มีการถ่ายเลือดอีกต่อไป"
FINAL SHOW3,"แกกับฉัน พวกเรามาเต้นรำ
บนสังเวียนแห่งความเป็นและความตายกันเถอะ"
ARE YOU READY,แกพร้อมรึยัง?
DRILL,คงรู้อยู่แล้วสินะ
CONGRATULATIONS,ยินดีด้วย %s!
SHOTS FIRED,ยิงโดนไปแล้ว
SHELLS EJECTED,โดนยิงไปแล้ว
DOORS KICKED,เตะประตูไปแล้ว
CIGS SMOKED,สูบบุหรี่ไปแล้ว
ROUNDS BEAT,ชนะไปทั้งหมด
ML DRANK,ดื่มเบียร์ไปทั้งหมด
TOTAL CASH,ยอดเงินที่ได้ทั้งหมด:
PRESS ANY KEY,กดปุ่มใดก็ได้เพื่อออก
DEAD,คุณตายแล้ว
RETRY,เริ่มใหม่
BETTER NOT,"ผมหวังว่า
จะไม่เจอคุณอีกนะครับ"
DOUBLE UNLOCK,"""DOUBLE OR NOTHING"" ปลดล็อคแล้ว!"
IMPAIR,อาจทำให้ความสามารถในการขับขี่ของคุณลดลง
,
ATTRIBUTION SPECIAL THANKS,"ขอบคุณเป็นพิเศษ

Hürcan ‘horrorvisuals’ Köse
Turtle Pals Tapes
1jem - OpenGL ซัพพอร์ต
nicolith"
COLORBLIND_MODE,โหมดตาบอดสี
